timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619479772,330,GET All Activities,200,OK,Starter 1-2,text,true,,3109,184,2,6,https://webapp-api-appservice.azurewebsites.net/api/Activities,328,0,260
1605619479373,737,GET All Activities,200,OK,Starter 1-1,text,true,,3079,184,1,5,https://webapp-api-appservice.azurewebsites.net/api/Activities,736,0,660
1605619479825,321,Get All Authors,200,OK,Stress Test 3-2,text,true,,31723,213,2,4,https://webapp-api-appservice.azurewebsites.net/api/Authors,275,0,205
1605619479373,773,Get All Authors,200,OK,Endruance Test 2-1,text,true,,31723,213,2,4,https://webapp-api-appservice.azurewebsites.net/api/Authors,727,0,657
1605619479373,774,Get All Authors,200,OK,Stress Test 3-1,text,true,,31723,213,2,4,https://webapp-api-appservice.azurewebsites.net/api/Authors,727,0,659
1605619479824,323,Get All Authors,200,OK,Endruance Test 2-2,text,true,,31723,213,2,4,https://webapp-api-appservice.azurewebsites.net/api/Authors,276,0,209
1605619480147,53,Add User,200,OK,Stress Test 3-2,text,true,,326,292,2,4,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619480147,53,Add User,200,OK,Endruance Test 2-1,text,true,,326,292,2,4,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619480147,54,Add User,200,OK,Stress Test 3-1,text,true,,326,292,2,4,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619480147,56,Add User,200,OK,Endruance Test 2-2,text,true,,326,292,2,4,https://webapp-api-appservice.azurewebsites.net/api/Users,56,0,0
1605619480203,329,Get Books,200,OK,Endruance Test 2-2,text,true,,97339,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,223,0,158
1605619480201,331,Get Books,200,OK,Stress Test 3-1,text,true,,97539,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,182,0,114
