timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619581782,659,GET All Activities,200,OK,Starter 1-2,text,true,,3109,184,8,12,https://webapp-api-appservice.azurewebsites.net/api/Activities,656,0,595
1605619581982,459,GET All Activities,200,OK,Starter 1-4,text,true,,3109,184,8,12,https://webapp-api-appservice.azurewebsites.net/api/Activities,456,0,393
1605619582183,258,GET All Activities,200,OK,Starter 1-6,text,true,,3109,184,8,12,https://webapp-api-appservice.azurewebsites.net/api/Activities,255,0,194
1605619581882,559,GET All Activities,200,OK,Starter 1-3,text,true,,3109,184,8,12,https://webapp-api-appservice.azurewebsites.net/api/Activities,556,0,494
1605619581768,667,GET All Activities,200,OK,Starter 1-1,text,true,,3109,184,8,12,https://webapp-api-appservice.azurewebsites.net/api/Activities,664,0,600
1605619582082,370,GET All Activities,200,OK,Starter 1-5,text,true,,3109,184,3,7,https://webapp-api-appservice.azurewebsites.net/api/Activities,370,0,292
1605619581768,729,Get All Authors,200,OK,Stress Test 3-1,text,true,,47615,213,2,7,https://webapp-api-appservice.azurewebsites.net/api/Authors,678,0,604
1605619582283,224,GET All Activities,200,OK,Starter 1-7,text,true,,3109,184,3,7,https://webapp-api-appservice.azurewebsites.net/api/Activities,224,0,173
1605619582254,271,Get All Authors,200,OK,Stress Test 3-2,text,true,,47615,213,2,6,https://webapp-api-appservice.azurewebsites.net/api/Authors,221,0,161
1605619582503,56,Add User,200,OK,Stress Test 3-1,text,true,,326,292,2,6,https://webapp-api-appservice.azurewebsites.net/api/Users,56,0,0
1605619582254,309,Get All Authors,200,OK,Endruance Test 2-2,text,true,,63507,213,2,6,https://webapp-api-appservice.azurewebsites.net/api/Authors,212,0,159
1605619581768,811,Get All Authors,200,OK,Endruance Test 2-1,text,true,,63507,213,2,7,https://webapp-api-appservice.azurewebsites.net/api/Authors,678,0,604
1605619582525,60,Add User,200,OK,Stress Test 3-2,text,true,,326,292,2,7,https://webapp-api-appservice.azurewebsites.net/api/Users,60,0,0
1605619582384,212,GET All Activities,200,OK,Starter 1-8,text,true,,3109,184,3,7,https://webapp-api-appservice.azurewebsites.net/api/Activities,212,0,161
1605619582563,53,Add User,200,OK,Endruance Test 2-2,text,true,,326,292,2,6,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619582585,60,Add User,200,OK,Endruance Test 2-1,text,true,,326,292,2,6,https://webapp-api-appservice.azurewebsites.net/api/Users,60,0,0
1605619582484,222,GET All Activities,200,OK,Starter 1-9,text,true,,3109,184,2,6,https://webapp-api-appservice.azurewebsites.net/api/Activities,222,0,164
1605619582584,229,GET All Activities,200,OK,Starter 1-10,text,true,,3109,184,1,5,https://webapp-api-appservice.azurewebsites.net/api/Activities,229,0,176
1605619582560,320,Get Books,200,OK,Stress Test 3-1,text,true,,97539,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,218,0,155
1605619582585,314,Get Books,200,OK,Stress Test 3-2,text,true,,97539,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,221,0,160
1605619582881,52,Add New Book using variable,200,OK,Stress Test 3-1,text,true,,382,380,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,52,0,0
1605619582899,51,Add New Book using variable,200,OK,Stress Test 3-2,text,true,,382,380,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,51,0,0
1605619582616,341,Get Books,200,OK,Endruance Test 2-2,text,true,,97539,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,244,0,156
1605619582933,62,Get Cover Photos,200,OK,Stress Test 3-1,text,true,,20739,217,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619582645,361,Get Books,200,OK,Endruance Test 2-1,text,true,,97539,211,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,227,0,164
1605619582951,58,Get Cover Photos,200,OK,Stress Test 3-2,text,true,,20739,217,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,56,0,0
1605619582957,54,Add New Book,200,OK,Endruance Test 2-2,text,true,,382,380,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619582996,53,Add CoverPhoto,200,OK,Stress Test 3-1,text,true,,321,317,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619583007,53,Add New Book,200,OK,Endruance Test 2-1,text,true,,382,380,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books,53,0,0
1605619583011,58,Get Cover Photos,200,OK,Endruance Test 2-2,text,true,,20739,217,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,56,0,0
1605619583010,60,Add CoverPhoto,200,OK,Stress Test 3-2,text,true,,321,317,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619583049,67,Get Book of specific ID,200,OK,Stress Test 3-1,text,true,,740,213,2,4,https://webapp-api-appservice.azurewebsites.net/api/Books/1,67,0,0
1605619583070,55,Add CoverPhoto,200,OK,Endruance Test 2-2,text,true,,321,317,2,4,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
